date,close,high,low,open,volume,rsi_14,stoch_rsi,stoch_rsi_k,stoch_rsi_d,tsi,uo,roc,willr,sma_10,sma_50,ema_20,ema_100,macd,macd_signal,adx,cci,bb_high,bb_low,bb_width,atr,mfi,obv
2015-06-01,27848.990234375,27959.4296875,27737.580078125,27770.7890625,9600.0,53.854469618191935,0.8671985635972091,0.7561946344728478,0.6725012711029738,-0.19392663775461824,55.951687567492364,2.363185535047446,-16.816399060359625,27717.3681640625,27823.785703125,27617.391882351618,28000.455326752726,-0.1974348778021522,-70.4134099644806,15.768312976312965,93.36330823876321,28195.334003714303,26693.559355660695,1501.774648053608,351.07172978563256,78.06325646765374,-41400.0
2015-06-02,27188.380859375,27902.529296875,27146.6796875,27890.73046875,14500.0,42.968511437794696,0.0,0.5844978521964733,0.6670982679057014,-2.2938088821451186,42.97728710512455,-0.49633706860269355,-78.64116184507456,27671.6533203125,27795.1109375,27576.533689687178,27984.374644230396,-36.34593373674943,-63.59991471893437,16.129367343990936,-6.746035379118178,28191.008331486075,26672.709051326427,1518.2992801596483,379.98443547058736,68.55373702519569,-55900.0
2015-06-03,26837.19921875,27276.220703125,26698.259765625,27230.6796875,14000.0,38.511837114477075,0.0,0.28906618786573646,0.543252891511686,-5.559972847007397,41.91764110124162,-3.070366335875159,-89.87985915993883,27571.6521484375,27762.4615234375,27506.120882931256,27961.658299171377,-92.26769837710162,-69.33347145056783,17.30200786631823,-115.15680608108266,28175.948764343724,26699.75162628128,1476.1971380624454,394.12561418697396,60.68023380608796,-69900.0
2015-06-04,26813.419921875,26948.83984375,26551.970703125,26940.640625,11600.0,38.222746251069594,0.0,0.0,0.2911880133540699,-8.244710984808457,44.782736774327525,-3.009923832762573,-82.79021630829557,27472.0591796875,27733.5083203125,27440.14936283066,27938.920905561547,-136.92648696709875,-82.85207455387402,18.629128738008347,-159.1992690275783,28142.551030891424,26754.580414421078,1387.9706164703457,394.3215803611187,53.98569198871373,-81500.0
2015-06-05,26768.490234375,27014.419921875,26718.439453125,26819.8203125,11900.0,37.647706683632386,0.0,0.0,0.09635539595524549,-10.603186324666087,39.87386062321089,-3.839180245192263,-85.74769389001382,27353.158203125,27705.037734375,27376.181826787262,27915.744060587556,-173.93928515621883,-101.06951667434299,19.635162825724688,-136.66945324604023,28172.954332783123,26690.487073466877,1482.4672593162468,387.29721524603883,55.07185220920634,-93400.0
2015-06-08,26523.08984375,26827.060546875,26472.869140625,26814.310546875,7900.0,34.587041705309005,0.0,0.0,0.0,-13.572496457170026,37.067180694718935,-4.625278130170223,-96.85784987627166,27241.0791015625,27672.2651171875,27294.934971259903,27888.16674936305,-220.53180167725077,-124.96197367492455,20.982384081714407,-154.13447790298795,28221.39043383497,26543.629878665026,1677.7605551699453,384.93251460346465,49.346887908926846,-101300.0
2015-06-09,26481.25,26604.650390625,26438.3203125,26510.2890625,11000.0,34.078349240054905,0.0,0.0,0.0,-16.16089912278096,31.632869296471487,-5.280336224626665,-97.37085742583258,27136.0630859375,27639.653515625,27217.441164473246,27860.3070117519,-257.8603784908555,-151.54165463811074,22.28984257042411,-152.9014500324509,28264.692596802764,26460.704668822233,1803.9879279805318,369.3180548550029,40.3337896347518,-112300.0
2015-06-10,26840.5,26934.740234375,26493.2890625,26517.3203125,8400.0,41.97028803434696,0.37322694201696616,0.12440898067232213,0.04146966022410738,-16.18890577552177,36.4605606385228,-2.906179720068305,-75.36931199716751,27063.6470703125,27627.3119140625,27181.542005951986,27840.112813499385,-255.50971498595027,-172.33526670767867,22.341805850750887,-100.22772764843243,28271.660236328506,26412.677068358993,1858.9831679695126,375.3303533921456,45.832414402642186,-103900.0
2015-06-11,26370.98046875,27000.140625,26348.9296875,26959.98046875,11300.0,35.918122105197796,0.09303001953693624,0.1554189871846342,0.09327598928565212,-18.1466219912833,34.5590815087585,-4.214930077733657,-98.63081147159268,26950.0740234375,27605.5587109375,27104.345669075607,27811.02108390039,-288.2107849324093,-195.51037035262482,22.67678435652156,-116.03680675133157,28321.15811848531,26279.671178389694,2041.4869400956159,395.03610939984947,35.53855630177708,-115200.0
2015-06-12,26425.30078125,26489.580078125,26307.0703125,26340.3203125,9600.0,37.0491255407752,0.15022037911968614,0.20549244689119625,0.16177347158271752,-19.372192866053258,37.832285441431736,-4.133406211219557,-92.84474851301643,26809.76015625,27574.5475390625,27039.67472737793,27783.58107790731,-306.2135836376692,-217.65101300963372,23.071343921397748,-120.18494576824475,28344.92644211196,26166.03293288804,2178.893509223919,379.8556562730745,35.32926742036797,-105600.0
2015-06-15,26586.55078125,26728.599609375,26307.83984375,26498.669921875,11000.0,40.41125974749827,0.32023017590672376,0.1878268581877821,0.18291276408787085,-19.395258613725684,39.3173993392067,-3.345220583954086,-83.08597554633053,26683.5162109375,27547.12875,26996.520065841934,27759.877507676472,-303.96547910603476,-234.91390622891393,22.61642659036758,-89.58892704282506,28308.132130774473,26092.75224422553,2215.3798865489443,382.7773783696406,41.65927352669964,-94600.0
2015-06-16,26686.509765625,26731.349609375,26379.9296875,26586.859375,13100.0,42.46274870434568,0.4239658387981864,0.29813879794153214,0.23048603434017015,-18.81604990720345,45.07405529858817,-4.103462896018651,-77.0365055649592,26633.3291015625,27515.6561328125,26966.995275345085,27738.622700903175,-290.7662135073879,-246.08436768460874,22.18475018812026,-73.66153212348314,28261.98867631663,26042.99374555837,2218.9949307582574,380.53756004859486,48.86874741076671,-81500.0
2015-06-17,26832.66015625,26983.48046875,26728.890625,26815.41015625,23000.0,45.42137684607309,0.5735719336821072,0.4392559827956726,0.30840721297499557,-17.46747304833751,47.54833201173743,-3.6494324195299104,-68.19155374417264,26632.8751953125,27482.2201171875,26954.201454478887,27720.682848533805,-265.4526128488251,-249.958016717452,20.961439832643716,-36.778926662088026,28173.516939259214,26031.010404490786,2142.5065347684285,374.5684988397666,53.01980279070993,-58500.0
2015-06-18,27115.830078125,27175.390625,26910.259765625,26916.990234375,10500.0,50.70988225276284,0.8409906844567192,0.6128428189790044,0.450079199905403,-14.685030724580031,50.40836217657018,-0.26684480265761507,-51.05424534992577,26663.1162109375,27454.204921875,26969.594656730897,27708.70556595145,-220.0058651422696,-243.96758640241555,19.664957175146277,-2.5359732278454206,28088.77160350571,26046.403787119292,2042.367816386417,372.2943538333547,52.36756795532583,-48000.0
2015-06-19,27316.169921875,27404.599609375,27202.380859375,27207.759765625,8100.0,54.098642180455926,1.0,0.8048542060462754,0.6189843359403174,-11.279444704735658,49.72629331963119,1.7847268607312932,-36.75176740627391,26717.8841796875,27426.3733203125,27002.601824839858,27700.932582900434,-165.91072353294658,-228.35621382852176,19.071118185497937,40.62699919623513,27980.335127759532,26090.707255052967,1889.6278727065655,366.3282950774008,51.87332251745328,-39900.0
2015-06-22,27730.2109375,27782.310546875,27417.029296875,27427.189453125,8100.0,60.190240023914804,1.0,0.9469968948189065,0.7882313066147287,-6.23628497697559,64.28662476641493,3.41914988202255,-3.531601712115214,26838.5962890625,27403.2733203125,27071.89793080749,27701.512352298443,-88.60885665490059,-200.40674239379754,19.373947148432375,95.56790676119836,27996.444885880734,26083.230504744268,1913.2143811364658,373.45774721472935,59.21790467961207,-31800.0
2015-06-23,27804.369140625,27882.66015625,27666.58984375,27760.109375,8600.0,61.18385607233639,1.0,1.0,0.9172837002883939,-1.855728605863095,65.14794479816142,3.8697696328041946,-4.968997225741352,26970.908203125,27381.7730859375,27141.657093647253,27703.549120384116,-21.119174302813917,-164.54922877560082,19.858727752537437,113.11711313613877,28044.91149666505,26062.059792397453,1982.8517042675958,362.21578759224866,66.97279558636339,-23200.0
2015-06-24,27729.669921875,27948.240234375,27647.2890625,27852.3203125,9400.0,59.57096434710634,0.9404957916776835,0.9801652638925612,0.9757207195704892,1.2737127973270237,61.497036975657515,4.549168612077537,-13.317957487929604,27059.8251953125,27355.4776953125,27197.65831538323,27704.066363977992,26.039119768513046,-126.43155906677805,20.44331833314984,105.77569054540471,28072.59621074164,26050.87605488336,2021.720155858282,357.83974361244515,67.7833495159494,-32600.0
2015-06-25,27895.970703125,27968.75,27635.759765625,27660.220703125,10100.0,61.97426913858313,1.0,0.9801652638925612,0.9867768425950407,4.653282499494304,61.66936905700347,5.342348654708521,-4.379863184371988,27212.32421875,27337.4033203125,27264.16425707292,27707.866449901696,75.95591824583607,-85.95406360425523,21.02990131677856,107.41104413516842,28139.457980635747,26022.94026155175,2116.517719083997,356.06477866691336,67.47935174332693,-22500.0
2015-06-26,27811.83984375,27921.859375,27675.16015625,27880.720703125,9600.0,60.03011642992776,0.9303069152862765,0.9569342356546534,0.9724215878132586,6.9278072578167915,63.33454756719666,3.61893349136566,-9.442864195209102,27350.978125,27320.3193359375,27316.32383675645,27709.9253289878,107.4876329061808,-47.265724302168024,21.574585515862374,101.47493120249996,28136.30597997038,26024.43230127962,2111.873678690761,348.2529529585624,66.547264280919,-32100.0
2015-06-29,27645.150390625,27695.3203125,27209.189453125,27451.0703125,10900.0,56.264054430095946,0.7808496129082025,0.903718842731493,0.9469394474262359,7.8237505382063315,63.57234230427661,4.83171235663729,-19.474247161428337,27456.8380859375,27304.3803515625,27347.6406514106,27708.64265694101,117.66987311264893,-14.278604819204634,20.39688015530964,65.72334093766841,28099.850396019727,26040.50390085527,2059.3464951644564,366.42419850616506,66.4123236604023,-43000.0
2015-06-30,27780.830078125,27814.529296875,27570.94921875,27627.390625,9500.0,58.543863621985146,0.8683456340569977,0.8598340540838256,0.9068290441566574,9.23385731955215,64.54326689145309,5.129664589614859,-11.309034062859963,27566.2701171875,27302.272734375,27388.89678728816,27710.07211082584,135.12989537569229,15.603095219774751,19.629027175379452,90.34273690646536,28174.475434848602,26025.1237839014,2149.351650947203,357.649618478939,66.72461747902827,-33500.0
2015-07-01,28020.869140625,28099.25,27799.91015625,27823.650390625,18400.0,62.28909540930061,1.0,0.8830650823217335,0.8822059930456841,11.574765094469242,65.45079135399021,5.394901998293604,-4.373493345655387,27685.091015625,27309.1693359375,27449.084630463094,27716.226507455525,166.4178734122579,45.76605085827138,19.62586732763767,109.18074327978272,28297.754113295166,26020.212097642332,2277.5420156528344,354.84749729294333,75.23502135294687,-15100.0
2015-07-02,27945.80078125,28115.9609375,27906.349609375,28100.380859375,6800.0,60.449829001537026,0.9159301479270706,0.9280919273280227,0.8903303545778606,13.005951519309505,62.5783977894578,4.718829950730754,-9.410882757696935,27768.0880859375,27310.282734375,27496.390930538037,27720.772532679177,183.04638738349968,73.22211816331703,19.66258995977953,98.6653715628759,28391.999263519174,26039.20503335583,2352.7942301633448,344.4734852095188,80.76208435057667,-21900.0
2015-07-03,28092.7890625,28135.4296875,27897.44921875,27973.119140625,6000.0,62.76807026638763,1.0,0.9719767159756901,0.9277112418751488,14.895925811943794,66.9843388541379,4.696250386328113,-2.4289732270008546,27845.75,27317.438125,27553.190752629653,27728.139196636024,205.71398757597126,99.72049204584789,19.74567699074417,94.58983455003569,28498.485517235502,26065.148662451997,2433.3368547835053,336.866841176696,80.19276009460597,-15900.0
2015-07-06,28208.759765625,28235.310546875,27774.80078125,27857.19921875,8300.0,64.5343847369564,1.0,0.9719767159756901,0.9573484530931343,17.006060768398175,69.57073489571931,4.030596461001181,-1.7625086381593362,27893.6048828125,27332.85453125,27615.625896724447,27737.656435625904,230.380408630459,125.85247536277012,19.347679857771883,90.12195704732036,28594.3425691805,26137.8586026945,2456.4839664859974,345.69847863728916,79.63016602500485,-7600.0
2015-07-07,28171.689453125,28335.23046875,28084.359375,28220.109375,8000.0,63.49740305558235,0.9249895840693224,0.9749965280231074,0.972983319991496,18.485780776670598,68.07064674855086,3.1319161276885064,-11.476798453915583,27930.3369140625,27352.748515625,27668.584330667356,27746.25114884371,244.1233585035734,149.50665199093078,19.26058524637315,97.76878932485872,28656.112121656985,26245.132995530515,2410.979126126469,338.92509400248275,77.4562808753671,-15600.0
2015-07-08,27687.720703125,28031.44921875,27635.720703125,28031.44921875,13700.0,51.79569339580498,0.0,0.6416631946897741,0.8628788128961906,16.309903819493,56.80037121990666,-0.15322723101806554,-57.15761035414357,27926.1419921875,27358.5753125,27670.40684232999,27745.092130116605,213.50140061494676,162.30560171573399,18.127344743524798,41.66381053602331,28668.91745931532,26317.04972818468,2351.8677311306383,352.9996408594483,67.93351480042844,-29300.0
2015-07-09,27573.66015625,27798.130859375,27540.599609375,27681.490234375,8200.0,49.48129955593695,0.0,0.3083298613564408,0.6416631946897741,13.796547905280656,51.11775921624977,-0.8297580254676982,-67.6325552917179,27893.9109375,27365.529921875,27661.192872227133,27741.69743756479,177.97792672795913,165.44006671817903,17.35065898351113,16.679279823267304,28610.415838277524,26495.819317972473,2114.596520305051,346.1804700837734,61.97538113730722,-37500.0
2015-07-10,27661.400390625,27729.4609375,27530.900390625,27705.359375,10800.0,51.28455924159563,0.11979336222267743,0.03993112074089248,0.32997472559570246,12.231397434319708,49.448423660901376,-0.2461966963268628,-59.84063358038482,27878.8669921875,27378.53171875,27661.212635884072,27740.10739703133,155.1171276871246,163.37547891196814,16.65837988982,9.42159612815,28537.175819098964,26692.669298088535,1844.5065210104294,335.63618985457526,62.71244194510084,-26700.0
2015-07-13,27961.189453125,28005.169921875,27635.060546875,27739.3203125,7800.0,56.94017667136687,0.4955048766238882,0.20509941294885523,0.18445346501539617,12.550771358980453,55.83148721408806,0.2337927247417634,-33.21735269273398,27910.4708984375,27387.9437109375,27689.781856573685,27744.485259528235,159.35332570143146,162.57104826986082,15.828210615393862,47.371980120673534,28486.228608199595,26881.080376175403,1605.148232024192,338.0985602221056,62.502173178545775,-18900.0
2015-07-14,27932.900390625,28018.58984375,27853.9609375,27986.919921875,6900.0,56.276241119850916,0.4513985991710032,0.355565612672523,0.2001987154540902,12.614229701514432,54.28993605266629,0.43528420829089903,-35.72961131453013,27925.6779296875,27397.79890625,27712.93600267381,27748.21625222322,158.59961459353508,161.7767615345957,15.099008212717692,59.35763249336801,28410.921764411953,27081.026282463044,1329.8954819489081,325.7078706526695,68.76595897091732,-25800.0
2015-07-15,28198.2890625,28218.369140625,27986.48046875,28022.140625,6000.0,60.88419283518135,0.7575120410281342,0.5681385056076752,0.37626784374301786,14.06643729369316,52.657513498431726,2.0008524607722156,-12.161316004461149,27943.419921875,27427.4173046875,27759.160103609636,27757.12858509999,177.37230348087178,164.8958699238509,15.02629786279469,116.93088291844927,28359.778529714622,27268.73240778538,1091.046121929241,322.8336477489074,67.80402910130502,-19800.0
